SucursalID,nombre,tipo,GeografiaID,provincia,ciudad,region,m2_ventas,empleados,fecha_apertura,flag_activa
1,RetailIQ Rafaela 1,Tienda grande,20,Santa Fe,Rafaela,Litoral,1371,119,2022-02-21,1
2,RetailIQ Rosario 2,Tienda grande,18,Santa Fe,Rosario,Litoral,1752,76,2023-05-02,1
3,RetailIQ Posadas 3,Tienda chica,27,Misiones,Posadas,Litoral,103,25,2020-09-08,1
4,RetailIQ Vicente López 4,Centro de distribución,7,Buenos Aires GBA Norte,Vicente López,AMBA,2556,17,2025-03-16,1
5,RetailIQ Morón 5,Tienda chica,10,Buenos Aires GBA Oeste,Morón,AMBA,163,75,2025-09-18,1
6,RetailIQ Corrientes Capital 6,Tienda chica,25,Corrientes,Corrientes Capital,Litoral,216,15,2018-05-18,1
7,RetailIQ Caleta Olivia 7,Tienda chica,44,Santa Cruz,Caleta Olivia,Sur,183,31,2024-10-10,1
8,RetailIQ Villa Carlos Paz 8,Tienda chica,31,Córdoba,Villa Carlos Paz,Centro,183,39,2025-03-05,0
9,RetailIQ Gualeguaychú 9,Tienda grande,24,Entre Ríos,Gualeguaychú,Litoral,1029,45,2019-09-06,1
10,RetailIQ La Matanza 10,Tienda chica,11,Buenos Aires GBA Oeste,La Matanza,AMBA,334,22,2024-04-05,1
11,RetailIQ Goya 11,Dark store,26,Corrientes,Goya,Litoral,312,70,2021-12-01,1
12,RetailIQ Villa Carlos Paz 12,Tienda chica,31,Córdoba,Villa Carlos Paz,Centro,132,81,2021-03-20,0
13,RetailIQ Rosario 13,Tienda chica,18,Santa Fe,Rosario,Litoral,236,48,2020-09-07,1
14,RetailIQ Quilmes 14,Centro de distribución,14,Buenos Aires GBA Sur,Quilmes,AMBA,1731,69,2019-08-24,1
15,RetailIQ Puerto Madryn 15,Tienda chica,42,Chubut,Puerto Madryn,Sur,178,25,2020-02-25,1
16,RetailIQ Río Cuarto 16,Tienda chica,32,Córdoba,Río Cuarto,Centro,285,12,2024-10-25,1
17,RetailIQ Rosario 17,Tienda chica,18,Santa Fe,Rosario,Litoral,372,21,2021-03-08,1
18,RetailIQ Orán 18,Tienda chica,51,Salta,Orán,NOA,208,98,2019-03-11,1
19,RetailIQ Río Cuarto 19,Tienda chica,32,Córdoba,Río Cuarto,Centro,331,33,2019-02-10,1
20,RetailIQ Vicente López 20,Tienda grande,7,Buenos Aires GBA Norte,Vicente López,AMBA,1041,9,2021-07-21,1
21,RetailIQ Tigre 21,Tienda chica,8,Buenos Aires GBA Norte,Tigre,AMBA,376,117,2019-02-22,1
22,RetailIQ Avellaneda 22,Tienda grande,17,Buenos Aires GBA Sur,Avellaneda,AMBA,1197,57,2021-05-17,1
23,RetailIQ Córdoba Capital 23,Tienda chica,30,Córdoba,Córdoba Capital,Centro,155,29,2025-07-13,1
24,RetailIQ Tigre 24,Tienda chica,8,Buenos Aires GBA Norte,Tigre,AMBA,326,11,2021-03-31,1
25,RetailIQ Rosario 25,Centro de distribución,18,Santa Fe,Rosario,Litoral,2989,66,2023-06-16,1
26,RetailIQ Palermo 26,Tienda grande,2,Ciudad Autónoma de Buenos Aires,Palermo,AMBA,2399,59,2020-07-27,1
27,RetailIQ Villa Carlos Paz 27,Tienda grande,31,Córdoba,Villa Carlos Paz,Centro,1691,74,2025-03-09,1
28,RetailIQ Flores 28,Tienda chica,5,Ciudad Autónoma de Buenos Aires,Flores,AMBA,180,70,2018-09-09,1
29,RetailIQ Palermo 29,Tienda chica,2,Ciudad Autónoma de Buenos Aires,Palermo,AMBA,396,84,2024-07-12,1
30,RetailIQ Goya 30,Tienda grande,26,Corrientes,Goya,Litoral,2086,21,2022-03-25,1
31,RetailIQ Morón 31,Tienda grande,10,Buenos Aires GBA Oeste,Morón,AMBA,1209,69,2022-11-19,1
32,RetailIQ San Miguel de Tucumán 32,Tienda grande,47,Tucumán,San Miguel de Tucumán,NOA,1446,43,2019-05-20,1
33,RetailIQ San Luis Capital 33,Tienda chica,66,San Luis,San Luis Capital,Cuyo,153,19,2026-03-02,1
34,RetailIQ Río Cuarto 34,Tienda grande,32,Córdoba,Río Cuarto,Centro,1662,86,2021-07-17,1
35,RetailIQ Corrientes Capital 35,Tienda grande,25,Corrientes,Corrientes Capital,Litoral,2534,47,2018-12-28,1
36,RetailIQ Corrientes Capital 36,Tienda chica,25,Corrientes,Corrientes Capital,Litoral,387,14,2023-01-07,0
37,RetailIQ Córdoba Capital 37,Dark store,30,Córdoba,Córdoba Capital,Centro,265,44,2020-10-24,1
38,RetailIQ Yerba Buena 38,Tienda grande,48,Tucumán,Yerba Buena,NOA,1822,76,2025-05-17,1
39,RetailIQ Vicente López 39,Dark store,7,Buenos Aires GBA Norte,Vicente López,AMBA,212,99,2023-09-02,0
40,RetailIQ Río Gallegos 40,Tienda grande,43,Santa Cruz,Río Gallegos,Sur,1242,65,2023-08-01,1
41,RetailIQ Caleta Olivia 41,Tienda grande,44,Santa Cruz,Caleta Olivia,Sur,1732,29,2025-11-08,1
42,RetailIQ Belgrano 42,Tienda grande,3,Ciudad Autónoma de Buenos Aires,Belgrano,AMBA,2886,73,2025-08-26,1
43,RetailIQ La Matanza 43,Tienda chica,11,Buenos Aires GBA Oeste,La Matanza,AMBA,119,60,2021-05-25,1
44,RetailIQ Río Gallegos 44,Tienda grande,43,Santa Cruz,Río Gallegos,Sur,1578,60,2023-03-26,1
45,RetailIQ San Fernando del Valle de Catamarca 45,Tienda grande,57,Catamarca,San Fernando del Valle de Catamarca,NOA,1086,89,2019-12-16,1
46,RetailIQ Río Cuarto 46,Tienda chica,32,Córdoba,Río Cuarto,Centro,306,75,2024-04-25,1
47,RetailIQ Lomas de Zamora 47,Tienda chica,15,Buenos Aires GBA Sur,Lomas de Zamora,AMBA,307,5,2018-11-30,1
48,RetailIQ Moreno 48,Tienda chica,13,Buenos Aires GBA Oeste,Moreno,AMBA,361,120,2018-09-17,0
49,RetailIQ Río Cuarto 49,Tienda chica,32,Córdoba,Río Cuarto,Centro,147,91,2023-12-12,1
50,RetailIQ Viedma 50,Tienda grande,37,Río Negro,Viedma,Sur,2746,118,2020-04-05,1
